"","Vtrue","Rtrue","time","dVtrue","dRtrue"
"1",-0.984662688216349,1.16335684214083,0,1,0.333333333333333
"11",-0.208140155057672,0.885810292351259,0.5,2.72731639860647,0.0600957238666667
"21",1.80402291363768,0.765784779609805,1,2.12642450007696,-0.6149640482
"31",2.07105435996361,0.66533490406312,1.5,-0.187470698664017,-0.6470158764
"41",1.91287589567305,0.33908915525793,2,-0.220922212739354,-0.591363408466667
"51",1.67144566877455,0.0884224665804915,2.5,-0.235297848734023,-0.5345806134
"61",1.71404657808338,-0.0389575985805323,3,-0.255237479040269,-0.476733095
"71",1.68816480461852,-0.388460762264494,3.5,-0.286030468149058,-0.4166430986
"81",1.21269314334119,-0.602013979881186,4,-0.337760109702336,-0.352027379466667
"91",1.12378533616946,-0.878643898270204,4.5,-0.436526556612777,-0.2776402548
"101",0.923157832956371,-0.849140167350957,5,-0.691387614670373,-0.1791094042
"111",0.446340211087733,-1.00092462883162,5.5,-1.7547927526375,0.00522277406666667
"121",-1.25378357270242,-0.576767334765549,6,-4.11364012374742,0.56217775
"131",-1.98043070161038,-0.48188981890763,6.5,0.121374480470693,0.745206497466667
"141",-1.87302098257087,-0.134837859386638,7,0.286905085325512,0.681858519533333
"151",-1.64220914605569,0.067594036246332,7.5,0.32010602003625,0.609861089133333
"161",-1.48966688578028,0.562308520568006,8,0.380070997728127,0.532446246333333
"171",-1.40416309716249,0.866276578143852,8.5,0.499784707396633,0.4431347544
"181",-1.01911383574595,0.911652193335373,9,0.829703501482161,0.323775473466667
"191",-0.338122168993987,0.931020020063409,9.5,2.38127317297395,0.0850510148
"201",1.6544493828426,0.802944649239794,10,2.8603468867361,-0.5715070366
"211",2.04604998749245,0.683733374518215,10.5,-0.177106303582586,-0.642725313733333
"221",1.76430471761786,0.38638214937259,11,-0.224359594435585,-0.5875829758
"231",1.84838505256506,0.109645212499561,11.5,-0.236223024139637,-0.530619212533333
"241",1.48625776744424,-0.161303581922293,12,-0.258773774425267,-0.4727613394
"251",1.53244119471737,-0.524589440672724,12.5,-0.289203968856236,-0.412380220933333
"261",1.53170115659775,-0.661249803216839,13,-0.342458123661105,-0.347264358733333
"271",1.03718231139693,-0.742038275130185,13.5,-0.446433285838708,-0.271817813733333
"281",0.913101203337229,-0.873589169761894,14,-0.722456668789301,-0.170886275733333
"291",0.186888313193983,-0.902604477583359,14.5,-1.91211814588943,0.0250775160666667
"301",-1.38790198969685,-0.874443943629712,15,-3.70088185674967,0.603809924533333
"311",-1.95839011055891,-0.445737617764873,15.5,0.152771888412829,0.7419847562
"321",-1.87238405978956,0.154735563509539,16,0.287174890741822,0.677248878533333
"331",-1.6660928579276,0.03416663955592,16.5,0.322829812222796,0.6050674214
"341",-1.57965042011239,0.48868558038172,17,0.382779745646458,0.526978189733333
"351",-1.24872379452893,0.809732380403405,17.5,0.512728158679722,0.436907707733333
"361",-1.04685105303743,0.763268490126745,18,0.868755962341938,0.3143040016
"371",-0.10500051998107,1.07913208044182,18.5,2.60615367141641,0.0594565188666667
"381",1.88092602385455,0.952263232213579,19,2.30622628544621,-0.5967372386
"391",2.041700477636,0.509009553713042,19.5,-0.184575177034515,-0.639634746533333
"401",1.89482315172209,0.178086512958589,20,-0.224832257222276,-0.584239946933333
